,batsman,total_runs,total_balls,fours,sixes,strike_rate,wicket_taken,season,stadium,team,opposing_team
29,Luke Ronchi ï¿½,6,5,0,1,120.00,c Wahab Riaz b Rahat Ali,2020,Rawalpindi Cricket Stadium,Islamabad United,Peshawar Zalmi
30,Luke Ronchi ï¿½,18,10,2,1,180.00,c Rossouw b Junaid Khan,2020,Rawalpindi Cricket Stadium,Islamabad United,Multan Sultans
0,Chadwick Walton,11,6,1,1,183.33,c Wahab Riaz b Umaid Asif,2018,Dubai International Cricket Stadium,Islamabad United,Peshawar Zalmi
1,Chadwick Walton,28,23,5,0,121.73,c Ahmed Shehzad b Junaid Khan,2018,Dubai International Cricket Stadium,Islamabad United,Multan Sultans
2,Chadwick Walton,8,7,0,0,114.28,lbw b Anwar Ali,2018,Sharjah Cricket Stadium,Islamabad United,Quetta Gladiators
3,Chadwick Walton,0,2,0,0,0.00,b Umaid Asif,2018,"National Stadium, Karachi",Islamabad United,Peshawar Zalmi
4,Chadwick Walton,22,14,2,1,157.14,b Wahab Riaz,2019,Dubai International Cricket Stadium,Islamabad United,Peshawar Zalmi
5,Chadwick Walton,48,30,2,4,160.00,b Wiese,2019,"National Stadium, Karachi",Islamabad United,Lahore Qalandars
6,Chadwick Walton,0,2,0,0,0.00,c ï¿½Dunk b Umer Khan,2019,"National Stadium, Karachi",Islamabad United,Karachi Kings
7,Chadwick Walton,48,29,3,3,165.51,c Nabi Gul b Mills,2019,"National Stadium, Karachi",Islamabad United,Peshawar Zalmi
8,Chadwick Walton,9,6,1,0,150.00,not out,2020,"National Stadium, Karachi",Karachi Kings,Peshawar Zalmi
9,Chadwick Walton,26,20,2,1,130.00,c Mohammad Hasnain b Naseem Shah,2020,"National Stadium, Karachi",Karachi Kings,Quetta Gladiators
0,Samit Patel,23,24,2,0,95.83,c Sammy b Ibtisam Sheikh,2018,Dubai International Cricket Stadium,Islamabad United,Peshawar Zalmi
1,Samit Patel,9,10,1,0,90.00,c Narine b Yasir Shah,2018,Sharjah Cricket Stadium,Islamabad United,Lahore Qalandars
2,Samit Patel,14,7,3,0,200.00,not out,2018,Dubai International Cricket Stadium,Islamabad United,Karachi Kings
3,Samit Patel,10,13,2,0,76.92,c Mohammad Hafeez b Hasan Ali,2018,"National Stadium, Karachi",Islamabad United,Peshawar Zalmi
4,Samit Patel,20,26,1,0,76.92,not out,2019,Dubai International Cricket Stadium,Islamabad United,Multan Sultans
5,Samit Patel,15,12,2,0,125.00,not out,2019,Dubai International Cricket Stadium,Islamabad United,Quetta Gladiators
6,Samit Patel,5,3,1,0,166.66,b Hasan Ali,2019,Sharjah Cricket Stadium,Islamabad United,Peshawar Zalmi
7,Samit Patel,45,30,6,1,150.00,not out,2019,Sharjah Cricket Stadium,Islamabad United,Karachi Kings
8,Samit Patel,20,27,3,0,74.07,c Vince b Shahid Afridi,2019,Dubai International Cricket Stadium,Islamabad United,Multan Sultans
9,Samit Patel,14,15,1,0,93.33,c ï¿½Sarfaraz Ahmed b Mohammad Hasnain,2019,"Sheikh Zayed Stadium, Abu Dhabi",Islamabad United,Quetta Gladiators
10,Samit Patel,10,9,0,1,111.11,c Ingram b Faheem Ashraf,2020,"Gaddafi Stadium, Lahore",Lahore Qalandars,Islamabad United
11,Samit Patel,34,15,5,1,226.66,not out,2020,Rawalpindi Cricket Stadium,Lahore Qalandars,Peshawar Zalmi
12,Samit Patel,71,40,9,2,177.50,c Mohammad Nawaz b Cutting,2020,"Gaddafi Stadium, Lahore",Lahore Qalandars,Quetta Gladiators
13,Samit Patel,6,8,1,0,75.00,c Munro b Shadab Khan,2020,"Gaddafi Stadium, Lahore",Lahore Qalandars,Islamabad United
14,Samit Patel,11,7,2,0,157.14,not out,2020,"Gaddafi Stadium, Lahore",Lahore Qalandars,Peshawar Zalmi
15,Samit Patel,5,9,0,0,55.55,c Babar Azam b Jordan,2020,"National Stadium, Karachi",Lahore Qalandars,Karachi Kings
16,Samit Patel,20,17,3,0,117.64,c Viljoen b Rahat Ali,2020,"National Stadium, Karachi",Lahore Qalandars,Peshawar Zalmi
17,Samit Patel,26,16,4,0,162.50,c Shan Masood b Sohail Tanvir,2020,"National Stadium, Karachi",Lahore Qalandars,Multan Sultans
18,Samit Patel,5,8,0,0,62.50,c Waqas Maqsood b Arshad Iqbal,2020,"National Stadium, Karachi",Lahore Qalandars,Karachi Kings
19,Samit Patel,8,11,0,0,72.72,b Mahmood,2021,"National Stadium, Karachi",Lahore Qalandars,Peshawar Zalmi
20,Samit Patel,26,20,2,1,130.00,not out,2021,"National Stadium, Karachi",Lahore Qalandars,Multan Sultans
21,Samit Patel,26,18,4,0,144.44,not out,2022,"National Stadium, Karachi",Lahore Qalandars,Karachi Kings
22,Samit Patel,11,11,1,0,100.00,c Shahnawaz Dahani b Willey,2022,"Gaddafi Stadium, Lahore",Lahore Qalandars,Multan Sultans
23,Samit Patel,21,18,1,1,116.66,c sub (Muhammad Hurraira) b Mohammad Wasim,2022,"Gaddafi Stadium, Lahore",Lahore Qalandars,Islamabad United
0,Faheem Ashraf,54,30,6,2,180.00,not out,2018,Dubai International Cricket Stadium,Islamabad United,Peshawar Zalmi
1,Faheem Ashraf,12,20,0,0,60.00,not out,2018,Dubai International Cricket Stadium,Islamabad United,Multan Sultans
2,Faheem Ashraf,21,13,1,2,161.53,run out (Mohammad Nawaz/Hastings),2018,Sharjah Cricket Stadium,Islamabad United,Quetta Gladiators
3,Faheem Ashraf,0,3,0,0,0.00,c Narine b Sohail Khan,2018,Sharjah Cricket Stadium,Islamabad United,Lahore Qalandars
4,Faheem Ashraf,1,1,0,0,100.00,run out (ï¿½Kamran Akmal),2018,Dubai International Cricket Stadium,Islamabad United,Peshawar Zalmi
5,Faheem Ashraf,13,6,1,1,216.66,not out,2018,Sharjah Cricket Stadium,Islamabad United,Multan Sultans
6,Faheem Ashraf,4,8,0,0,50.00,b Usman Shinwari,2018,Sharjah Cricket Stadium,Islamabad United,Karachi Kings
7,Faheem Ashraf,6,4,0,1,150.00,not out,2018,"National Stadium, Karachi",Islamabad United,Peshawar Zalmi
8,Faheem Ashraf,23,11,2,2,209.09,not out,2019,Dubai International Cricket Stadium,Islamabad United,Lahore Qalandars
9,Faheem Ashraf,20,14,1,1,142.85,not out,2019,Dubai International Cricket Stadium,Islamabad United,Multan Sultans
10,Faheem Ashraf,1,7,0,0,14.28,c Ahmed Shehzad b Fawad Ahmed,2019,Dubai International Cricket Stadium,Islamabad United,Quetta Gladiators
11,Faheem Ashraf,2,3,0,0,66.66,c Umar Amin b Umaid Asif,2019,Sharjah Cricket Stadium,Islamabad United,Peshawar Zalmi
12,Faheem Ashraf,16,10,1,1,160.00,not out,2019,Dubai International Cricket Stadium,Islamabad United,Multan Sultans
13,Faheem Ashraf,8,7,1,0,114.28,not out,2019,Dubai International Cricket Stadium,Islamabad United,Karachi Kings
14,Faheem Ashraf,9,5,1,0,180.00,b Hasan Ali,2019,Dubai International Cricket Stadium,Islamabad United,Peshawar Zalmi
15,Faheem Ashraf,2,2,0,0,100.00,c Sohail Tanvir b Mohammad Hasnain,2019,"Sheikh Zayed Stadium, Abu Dhabi",Islamabad United,Quetta Gladiators
16,Faheem Ashraf,17,8,2,1,212.50,c Aamer Yamin b Mohammad Amir,2019,"National Stadium, Karachi",Islamabad United,Karachi Kings
17,Faheem Ashraf,31,14,1,3,221.42,c Umar Amin b Jordan,2019,"National Stadium, Karachi",Islamabad United,Peshawar Zalmi
18,Faheem Ashraf,20,8,4,0,250.00,c Roy b Mohammad Hasnain,2020,"National Stadium, Karachi",Islamabad United,Quetta Gladiators
19,Faheem Ashraf,11,7,2,0,157.14,b Haris Rauf,2020,"Gaddafi Stadium, Lahore",Islamabad United,Lahore Qalandars
20,Faheem Ashraf,4,4,1,0,100.00,run out (Ahmed Shehzad),2020,Rawalpindi Cricket Stadium,Islamabad United,Quetta Gladiators
21,Faheem Ashraf,3,4,0,0,75.00,not out,2020,Rawalpindi Cricket Stadium,Islamabad United,Peshawar Zalmi
22,Faheem Ashraf,12,14,0,0,85.71,not out,2020,"National Stadium, Karachi",Islamabad United,Karachi Kings
23,Faheem Ashraf,22,12,2,1,183.33,c Shahid Afridi b Brathwaite,2021,"National Stadium, Karachi",Islamabad United,Multan Sultans
24,Faheem Ashraf,25,15,2,2,166.66,b Arshad Iqbal,2021,"National Stadium, Karachi",Islamabad United,Karachi Kings
25,Faheem Ashraf,2,4,0,0,50.00,c Kohler-Cadmore b Umaid Asif,2021,"National Stadium, Karachi",Islamabad United,Peshawar Zalmi
26,Faheem Ashraf,27,24,2,1,112.50,c & b Shaheen Shah Afridi,2021,"Sheikh Zayed Stadium, Abu Dhabi",Islamabad United,Lahore Qalandars
27,Faheem Ashraf,0,3,0,0,0.00,c Charles b Muzarabani,2021,"Sheikh Zayed Stadium, Abu Dhabi",Islamabad United,Multan Sultans
28,Faheem Ashraf,1,5,0,0,20.00,c Hazratullah Zazai b Wahab Riaz,2021,"Sheikh Zayed Stadium, Abu Dhabi",Islamabad United,Peshawar Zalmi
29,Faheem Ashraf,0,1,0,0,0.00,lbw b Khushdil Shah,2022,"National Stadium, Karachi",Islamabad United,Multan Sultans
30,Faheem Ashraf,0,1,0,0,0.00,not out,2022,"National Stadium, Karachi",Islamabad United,Lahore Qalandars
31,Faheem Ashraf,7,5,0,1,140.00,not out,2022,"National Stadium, Karachi",Islamabad United,Karachi Kings
32,Faheem Ashraf,55,28,5,4,196.42,c Noor Ahmad b Faulkner,2022,"Gaddafi Stadium, Lahore",Islamabad United,Quetta Gladiators
33,Faheem Ashraf,29,10,3,2,290.00,not out,2022,"Gaddafi Stadium, Lahore",Islamabad United,Karachi Kings
34,Faheem Ashraf,9,6,2,0,150.00,c Shoaib Malik b Salman Irshad,2022,"Gaddafi Stadium, Lahore",Islamabad United,Peshawar Zalmi
35,Faheem Ashraf,2,4,0,0,50.00,lbw b Haris Rauf,2022,"Gaddafi Stadium, Lahore",Islamabad United,Lahore Qalandars
36,Faheem Ashraf,19,13,2,1,146.15,not out,2022,"Gaddafi Stadium, Lahore",Islamabad United,Peshawar Zalmi
37,Faheem Ashraf,12,7,2,0,171.42,c Irfan Khan b Mohammad Amir,2023,"National Stadium, Karachi",Islamabad United,Karachi Kings
38,Faheem Ashraf,4,6,0,0,66.66,c & b Abbas Afridi,2023,Multan Cricket Stadium,Islamabad United,Multan Sultans
39,Faheem Ashraf,17,6,2,1,283.33,not out,2023,"National Stadium, Karachi",Islamabad United,Quetta Gladiators
40,Faheem Ashraf,4,13,0,0,30.76,not out,2023,"Gaddafi Stadium, Lahore",Islamabad United,Lahore Qalandars
41,Faheem Ashraf,41,32,1,2,128.12,run out (Tayyab Tahir/ï¿½Rossington/Tye),2023,Rawalpindi Cricket Stadium,Islamabad United,Karachi Kings
42,Faheem Ashraf,39,31,6,0,125.80,not out,2023,Rawalpindi Cricket Stadium,Islamabad United,Quetta Gladiators
43,Faheem Ashraf,51,26,5,2,196.15,not out,2023,Rawalpindi Cricket Stadium,Islamabad United,Multan Sultans
44,Faheem Ashraf,4,8,0,0,50.00,lbw b Rashid Khan,2023,Rawalpindi Cricket Stadium,Islamabad United,Lahore Qalandars
45,Faheem Ashraf,38,13,2,4,292.30,b Khurram Shahzad,2023,Rawalpindi Cricket Stadium,Islamabad United,Peshawar Zalmi
46,Faheem Ashraf,5,2,1,0,250.00,run out (Aamer Jamal),2023,"Gaddafi Stadium, Lahore",Islamabad United,Peshawar Zalmi
47,Faheem Ashraf,1,2,0,0,50.00,c Hendricks b Mohammad Ali,2024,Multan Cricket Stadium,Islamabad United,Multan Sultans
48,Faheem Ashraf,20,14,1,1,142.85,c Roy b Mohammad Wasim,2024,"Gaddafi Stadium, Lahore",Islamabad United,Quetta Gladiators
49,Faheem Ashraf,1,2,0,0,50.00,c sub (DR Mousley) b Arif Yaqoob,2024,"Gaddafi Stadium, Lahore",Islamabad United,Peshawar Zalmi
50,Faheem Ashraf,41,31,4,1,132.25,not out,2024,Rawalpindi Cricket Stadium,Islamabad United,Lahore Qalandars
51,Faheem Ashraf,12,8,0,1,150.00,not out,2024,Rawalpindi Cricket Stadium,Islamabad United,Karachi Kings
52,Faheem Ashraf,23,14,2,1,164.28,c Willey b Abbas Afridi,2024,Rawalpindi Cricket Stadium,Islamabad United,Multan Sultans
53,Faheem Ashraf,1,2,0,0,50.00,c ï¿½Evans b Mohammad Amir,2024,"National Stadium, Karachi",Islamabad United,Quetta Gladiators
54,Faheem Ashraf,1,4,0,0,25.00,c & b Iftikhar Ahmed,2024,"National Stadium, Karachi",Islamabad United,Multan Sultans
0,Rumman Raees (c),11,10,2,0,110.00,not out,2018,Dubai International Cricket Stadium,Islamabad United,Peshawar Zalmi
0,Gulraiz Sadaf ï¿½,13,31,0,0,41.93,c Hassan Khan b Archer,2018,Dubai International Cricket Stadium,Lahore Qalandars,Quetta Gladiators
1,Gulraiz Sadaf ï¿½,27,40,3,0,67.50,c Ahmed Shehzad b Saif Badar,2018,Dubai International Cricket Stadium,Lahore Qalandars,Multan Sultans
2,Gulraiz Sadaf ï¿½,2,2,0,0,100.00,run out (Usman Shinwari/ï¿½Mohammad Rizwan),2018,Dubai International Cricket Stadium,Lahore Qalandars,Karachi Kings
3,Gulraiz Sadaf ï¿½,42,27,3,2,155.55,not out,2018,Sharjah Cricket Stadium,Lahore Qalandars,Quetta Gladiators
4,Gulraiz Sadaf ï¿½,26,21,2,1,123.80,not out,2018,Sharjah Cricket Stadium,Lahore Qalandars,Peshawar Zalmi
0,Saif Badar,8,9,0,0,88.88,b Rumman Raees,2018,Dubai International Cricket Stadium,Multan Sultans,Islamabad United
1,Saif Badar,0,2,0,0,0.00,c Agha Salman b Shaheen Shah Afridi,2018,Dubai International Cricket Stadium,Multan Sultans,Lahore Qalandars
2,Saif Badar,13,11,1,1,118.18,b Shahid Afridi,2018,Dubai International Cricket Stadium,Multan Sultans,Karachi Kings
3,Saif Badar,0,1,0,0,0.00,lbw b Patel,2018,Sharjah Cricket Stadium,Multan Sultans,Islamabad United
0,Imran Tahir,2,5,0,0,40.00,b Rumman Raees,2018,Dubai International Cricket Stadium,Multan Sultans,Islamabad United
1,Imran Tahir,2,5,0,0,40.00,not out,2018,Dubai International Cricket Stadium,Multan Sultans,Lahore Qalandars
2,Imran Tahir,2,9,0,0,22.22,b Mohammad Amir,2018,Dubai International Cricket Stadium,Multan Sultans,Karachi Kings
3,Imran Tahir,7,4,1,0,175.00,not out,2018,Sharjah Cricket Stadium,Multan Sultans,Islamabad United
4,Imran Tahir,3,2,0,0,150.00,not out,2020,"Gaddafi Stadium, Lahore",Multan Sultans,Islamabad United
5,Imran Tahir,1,2,0,0,50.00,c Fakhar Zaman b Dilbar Hussain,2020,"National Stadium, Karachi",Multan Sultans,Lahore Qalandars
6,Imran Tahir,14,8,1,1,175.00,run out (Zahid Mahmood/ï¿½Sarfaraz Ahmed),2021,"National Stadium, Karachi",Multan Sultans,Quetta Gladiators
7,Imran Tahir,4,2,1,0,200.00,c Sohail Akhtar b Faulkner,2021,"Sheikh Zayed Stadium, Abu Dhabi",Multan Sultans,Lahore Qalandars
8,Imran Tahir,3,9,0,0,33.33,c Brook b Zaman Khan,2022,"Gaddafi Stadium, Lahore",Multan Sultans,Lahore Qalandars
9,Imran Tahir,10,7,2,0,142.85,c Haris Rauf b Wiese,2022,"Gaddafi Stadium, Lahore",Multan Sultans,Lahore Qalandars
0,Sahibzada Farhan,9,7,2,0,128.57,b Imran Tahir,2018,Dubai International Cricket Stadium,Islamabad United,Multan Sultans
1,Sahibzada Farhan,6,16,0,0,37.50,c Narine b Sohail Khan,2018,Sharjah Cricket Stadium,Islamabad United,Lahore Qalandars
2,Sahibzada Farhan,3,4,0,0,75.00,not out,2018,Dubai International Cricket Stadium,Islamabad United,Lahore Qalandars
3,Sahibzada Farhan,29,18,0,3,161.11,c Shahid Afridi b Mills,2018,Dubai International Cricket Stadium,Islamabad United,Karachi Kings
4,Sahibzada Farhan,44,33,5,1,133.33,c Hasan Ali b Wahab Riaz,2018,"National Stadium, Karachi",Islamabad United,Peshawar Zalmi
5,Sahibzada Farhan,15,18,1,0,83.33,c Dawson b Sameen Gul,2019,Sharjah Cricket Stadium,Islamabad United,Peshawar Zalmi
6,Sahibzada Farhan,30,28,4,0,107.14,b Imad Wasim,2019,Sharjah Cricket Stadium,Islamabad United,Karachi Kings
7,Sahibzada Farhan,4,8,0,0,50.00,st ï¿½Umar Siddiq b Nauman Ali,2019,Dubai International Cricket Stadium,Islamabad United,Multan Sultans
8,Sahibzada Farhan,8,5,0,1,160.00,b Haris Rauf,2022,"National Stadium, Karachi",Karachi Kings,Lahore Qalandars
9,Sahibzada Farhan,1,2,0,0,50.00,not out,2022,"Gaddafi Stadium, Lahore",Karachi Kings,Peshawar Zalmi
10,Sahibzada Farhan,17,21,2,0,80.95,c Rahmanullah Gurbaz b Waqas Maqsood,2022,"Gaddafi Stadium, Lahore",Karachi Kings,Islamabad United
11,Sahibzada Farhan,57,36,8,1,158.33,c ï¿½Azam Khan b Mills,2024,"Gaddafi Stadium, Lahore",Lahore Qalandars,Islamabad United
12,Sahibzada Farhan,72,45,4,4,160.00,not out,2024,"Gaddafi Stadium, Lahore",Lahore Qalandars,Karachi Kings
13,Sahibzada Farhan,15,12,3,0,125.00,c Haseebullah Khan b Naveen-ul-Haq,2024,"Gaddafi Stadium, Lahore",Lahore Qalandars,Peshawar Zalmi
14,Sahibzada Farhan,25,22,4,0,113.63,c Roy b Abrar Ahmed,2024,"National Stadium, Karachi",Lahore Qalandars,Quetta Gladiators
0,Ibtisam Sheikh,2,6,0,0,33.33,run out (Mohammad Irfan),2018,Dubai International Cricket Stadium,Peshawar Zalmi,Karachi Kings
1,Ibtisam Sheikh,0,0,0,0,-,not out,2018,Dubai International Cricket Stadium,Peshawar Zalmi,Islamabad United
0,Umaid Asif,7,5,0,1,140.00,lbw b Shahid Afridi,2018,Dubai International Cricket Stadium,Peshawar Zalmi,Karachi Kings
1,Umaid Asif,0,0,0,0,-,not out,2018,Dubai International Cricket Stadium,Peshawar Zalmi,Multan Sultans
2,Umaid Asif,25,17,1,2,147.05,c Patel b Faheem Ashraf,2018,Dubai International Cricket Stadium,Peshawar Zalmi,Islamabad United
3,Umaid Asif,7,6,1,0,116.66,c Asad Shafiq b Rahat Ali,2018,"Gaddafi Stadium, Lahore",Peshawar Zalmi,Quetta Gladiators
4,Umaid Asif,0,1,0,0,0.00,lbw b Shadab Khan,2018,"National Stadium, Karachi",Peshawar Zalmi,Islamabad United
5,Umaid Asif,0,0,0,0,-,not out,2019,Sharjah Cricket Stadium,Peshawar Zalmi,Karachi Kings
6,Umaid Asif,0,1,0,0,0.00,c Faheem Ashraf b Mohammad Sami,2019,Sharjah Cricket Stadium,Peshawar Zalmi,Islamabad United
7,Umaid Asif,9,4,2,0,225.00,b Mohammad Hasnain,2020,"National Stadium, Karachi",Karachi Kings,Quetta Gladiators
8,Umaid Asif,20,11,0,2,181.81,c Bopara b Sohail Tanvir,2020,Multan Cricket Stadium,Karachi Kings,Multan Sultans
9,Umaid Asif,13,6,1,1,216.66,not out,2020,"National Stadium, Karachi",Karachi Kings,Islamabad United
10,Umaid Asif,23,12,0,3,191.66,not out,2021,"Sheikh Zayed Stadium, Abu Dhabi",Peshawar Zalmi,Lahore Qalandars
11,Umaid Asif,4,1,1,0,400.00,not out,2021,"Sheikh Zayed Stadium, Abu Dhabi",Peshawar Zalmi,Multan Sultans
12,Umaid Asif,20,9,2,1,222.22,not out,2021,"Sheikh Zayed Stadium, Abu Dhabi",Peshawar Zalmi,Islamabad United
13,Umaid Asif,0,1,0,0,0.00,not out,2022,"National Stadium, Karachi",Karachi Kings,Lahore Qalandars
14,Umaid Asif,10,10,2,0,100.00,c ï¿½Azam Khan b Waqas Maqsood,2022,"National Stadium, Karachi",Karachi Kings,Islamabad United
15,Umaid Asif,2,3,0,0,66.66,not out,2022,"Gaddafi Stadium, Lahore",Karachi Kings,Quetta Gladiators
16,Umaid Asif,11,6,1,1,183.33,not out,2023,"Gaddafi Stadium, Lahore",Quetta Gladiators,Lahore Qalandars
17,Umaid Asif,0,1,0,0,0.00,c Pollard b Abbas Afridi,2023,Rawalpindi Cricket Stadium,Quetta Gladiators,Multan Sultans
0,Denesh Ramdin ï¿½,11,19,0,0,57.89,c Denly b Mohammad Irfan,2018,Dubai International Cricket Stadium,Lahore Qalandars,Karachi Kings
1,Denesh Ramdin ï¿½,4,7,0,0,57.14,c ï¿½Ronchi b Mohammad Sami,2018,Sharjah Cricket Stadium,Lahore Qalandars,Islamabad United
2,Denesh Ramdin ï¿½,0,1,0,0,0.00,lbw b Dawson,2018,Sharjah Cricket Stadium,Lahore Qalandars,Peshawar Zalmi
3,Denesh Ramdin ï¿½,9,20,0,0,45.00,b Faheem Ashraf,2018,Dubai International Cricket Stadium,Lahore Qalandars,Islamabad United
0,Salman Agha,15,17,1,0,88.23,c Mills b Usman Shinwari,2018,Dubai International Cricket Stadium,Lahore Qalandars,Karachi Kings
1,Salman Agha,48,35,6,2,137.14,c Patel b Mohammad Sami,2018,Sharjah Cricket Stadium,Lahore Qalandars,Islamabad United
2,Salman Agha,13,12,2,0,108.33,c ï¿½Kamran Akmal b Sameen Gul,2018,Sharjah Cricket Stadium,Lahore Qalandars,Peshawar Zalmi
3,Salman Agha,8,13,0,0,61.53,c Sahibzada Farhan b Shadab Khan,2018,Dubai International Cricket Stadium,Lahore Qalandars,Islamabad United
4,Salman Agha,3,8,0,0,37.50,c ï¿½Sangakkara b Mohammad Irfan,2018,Dubai International Cricket Stadium,Lahore Qalandars,Multan Sultans
5,Salman Agha,50,45,4,1,111.11,c Simmons b Usman Shinwari,2018,Dubai International Cricket Stadium,Lahore Qalandars,Karachi Kings
6,Salman Agha,1,2,0,0,50.00,b Mir Hamza,2018,Sharjah Cricket Stadium,Lahore Qalandars,Quetta Gladiators
7,Salman Agha,28,25,0,2,112.00,c Dawson b Wahab Riaz,2018,Sharjah Cricket Stadium,Lahore Qalandars,Peshawar Zalmi
8,Salman Agha,13,18,1,0,72.22,c Ibtisam Sheikh b Wahab Riaz,2019,Dubai International Cricket Stadium,Lahore Qalandars,Peshawar Zalmi
9,Salman Agha,2,6,0,0,33.33,c ï¿½Umar Siddiq b Junaid Khan,2019,Sharjah Cricket Stadium,Lahore Qalandars,Multan Sultans
10,Salman Agha,3,6,0,0,50.00,c Shadab Khan b Faheem Ashraf,2019,"National Stadium, Karachi",Lahore Qalandars,Islamabad United
11,Salman Agha,21,16,4,0,131.25,b Amad Butt,2021,"National Stadium, Karachi",Lahore Qalandars,Peshawar Zalmi
12,Salman Agha,1,2,0,0,50.00,run out (Danish Aziz),2021,"Sheikh Zayed Stadium, Abu Dhabi",Lahore Qalandars,Karachi Kings
13,Salman Agha,13,15,1,0,86.66,c ï¿½Mohammad Rizwan b Muzarabani,2021,"Sheikh Zayed Stadium, Abu Dhabi",Lahore Qalandars,Multan Sultans
14,Salman Agha,64,31,7,3,206.45,not out,2024,"Gaddafi Stadium, Lahore",Islamabad United,Lahore Qalandars
15,Salman Agha,52,43,3,2,120.93,c Khushdil Shah b Abbas Afridi,2024,Multan Cricket Stadium,Islamabad United,Multan Sultans
16,Salman Agha,33,23,5,0,143.47,c Khawaja Nafay b Abrar Ahmed,2024,"Gaddafi Stadium, Lahore",Islamabad United,Quetta Gladiators
17,Salman Agha,14,8,1,1,175.00,c Mohammad Haris b Saim Ayub,2024,"Gaddafi Stadium, Lahore",Islamabad United,Peshawar Zalmi
18,Salman Agha,25,17,0,2,147.05,not out,2024,"National Stadium, Karachi",Islamabad United,Karachi Kings
19,Salman Agha,37,25,4,2,148.00,c ï¿½Mohammad Haris b Salman Irshad,2024,Rawalpindi Cricket Stadium,Islamabad United,Peshawar Zalmi
20,Salman Agha,4,3,1,0,133.33,c Hope b Zaman Khan,2024,Rawalpindi Cricket Stadium,Islamabad United,Lahore Qalandars
21,Salman Agha,33,30,1,1,110.00,c ï¿½Seifert b Muzarabani,2024,Rawalpindi Cricket Stadium,Islamabad United,Karachi Kings
22,Salman Agha,2,5,0,0,40.00,c & b Mohammad Ali,2024,Rawalpindi Cricket Stadium,Islamabad United,Multan Sultans
23,Salman Agha,31,21,2,1,147.61,c Roy b Saud Shakeel,2024,"National Stadium, Karachi",Islamabad United,Quetta Gladiators
24,Salman Agha,5,4,1,0,125.00,b Saim Ayub,2024,"National Stadium, Karachi",Islamabad United,Peshawar Zalmi
25,Salman Agha,10,11,2,0,90.90,c & b Khushdil Shah,2024,"National Stadium, Karachi",Islamabad United,Multan Sultans
0,Jean-Paul Duminy,14,26,0,0,53.84,c Mohammad Nawaz b Hastings,2018,Sharjah Cricket Stadium,Islamabad United,Quetta Gladiators
1,Jean-Paul Duminy,34,36,3,1,94.44,lbw b Yasir Shah,2018,Sharjah Cricket Stadium,Islamabad United,Lahore Qalandars
2,Jean-Paul Duminy,43,44,5,0,97.72,not out,2018,Sharjah Cricket Stadium,Islamabad United,Karachi Kings
3,Jean-Paul Duminy,21,17,3,1,123.52,c McCullum b Narine,2018,Dubai International Cricket Stadium,Islamabad United,Lahore Qalandars
4,Jean-Paul Duminy,73,54,6,4,135.18,not out,2018,Dubai International Cricket Stadium,Islamabad United,Peshawar Zalmi
5,Jean-Paul Duminy,6,12,0,0,50.00,run out (Shoaib Malik),2018,Sharjah Cricket Stadium,Islamabad United,Multan Sultans
6,Jean-Paul Duminy,54,47,4,2,114.89,c Hassan Khan b Rahat Ali,2018,Sharjah Cricket Stadium,Islamabad United,Quetta Gladiators
7,Jean-Paul Duminy,4,9,1,0,44.44,lbw b Usman Shinwari,2018,Sharjah Cricket Stadium,Islamabad United,Karachi Kings
0,John Hastings,5,7,1,0,71.42,not out,2018,Sharjah Cricket Stadium,Quetta Gladiators,Peshawar Zalmi
1,John Hastings,0,1,0,0,0.00,b Imran Tahir,2018,Sharjah Cricket Stadium,Quetta Gladiators,Multan Sultans
0,Sabbir Rahman,11,11,1,0,100.00,c Umar Amin b Rahat Ali,2018,Sharjah Cricket Stadium,Peshawar Zalmi,Quetta Gladiators
0,Khalid Usman,7,9,0,0,77.77,not out,2018,Sharjah Cricket Stadium,Peshawar Zalmi,Quetta Gladiators
1,Khalid Usman,17,14,1,1,121.42,b Mohammad Ilyas,2021,"Sheikh Zayed Stadium, Abu Dhabi",Peshawar Zalmi,Karachi Kings
2,Khalid Usman,19,11,2,0,172.72,not out,2022,"Gaddafi Stadium, Lahore",Peshawar Zalmi,Lahore Qalandars
0,Salman Irshad,6,2,0,1,300.00,c Asif Ali b Mohammad Sami,2018,Sharjah Cricket Stadium,Lahore Qalandars,Islamabad United
1,Salman Irshad,1,3,0,0,33.33,c Smith b Hasan Ali,2018,Sharjah Cricket Stadium,Lahore Qalandars,Peshawar Zalmi
2,Salman Irshad,1,1,0,0,100.00,run out (Faheem Ashraf/ï¿½Ronchi),2018,Dubai International Cricket Stadium,Lahore Qalandars,Islamabad United
3,Salman Irshad,2,4,0,0,50.00,not out,2020,Rawalpindi Cricket Stadium,Lahore Qalandars,Peshawar Zalmi
4,Salman Irshad,1,2,0,0,50.00,b Rumman Raees,2020,"Gaddafi Stadium, Lahore",Lahore Qalandars,Islamabad United
5,Salman Irshad,1,2,0,0,50.00,not out,2022,"National Stadium, Karachi",Peshawar Zalmi,Lahore Qalandars
6,Salman Irshad,2,4,0,0,50.00,c & b Khushdil Shah,2022,"Gaddafi Stadium, Lahore",Peshawar Zalmi,Multan Sultans
7,Salman Irshad,0,5,0,0,0.00,b Ihsanullah,2023,Multan Cricket Stadium,Peshawar Zalmi,Multan Sultans
