,batsman,total_runs,total_balls,fours,sixes,strike_rate,wicket_taken,season,stadium,team,opposing_team
53,Babar Azam,23,25,3,0,92.00,c Hassan Khan b Abdul Nasir,2021,"Sheikh Zayed Stadium, Abu Dhabi",Karachi Kings,Quetta Gladiators
54,Babar Azam,53,45,6,0,117.77,c Powell b Wahab Riaz,2021,"Sheikh Zayed Stadium, Abu Dhabi",Karachi Kings,Peshawar Zalmi
0,Sam Billings ï¿½,2,4,0,0,50.00,b Mohammad Nawaz,2016,Dubai International Cricket Stadium,Islamabad United,Quetta Gladiators
1,Sam Billings ï¿½,26,20,1,1,130.00,c Mohammad Asghar b Wahab Riaz,2016,Dubai International Cricket Stadium,Islamabad United,Peshawar Zalmi
2,Sam Billings ï¿½,4,2,1,0,200.00,run out (Vince),2016,Dubai International Cricket Stadium,Islamabad United,Karachi Kings
3,Sam Billings ï¿½,47,23,5,3,204.34,not out,2023,"Gaddafi Stadium, Lahore",Lahore Qalandars,Peshawar Zalmi
4,Sam Billings ï¿½,33,23,5,0,143.47,c Zeeshan Zameer b Curran,2023,"Gaddafi Stadium, Lahore",Lahore Qalandars,Islamabad United
5,Sam Billings ï¿½,2,5,0,0,40.00,c Smeed b Naveen-ul-Haq,2023,"Gaddafi Stadium, Lahore",Lahore Qalandars,Quetta Gladiators
6,Sam Billings ï¿½,54,35,6,2,154.28,lbw b Pollard,2023,"Gaddafi Stadium, Lahore",Lahore Qalandars,Multan Sultans
7,Sam Billings ï¿½,0,1,0,0,0.00,c ï¿½Haseebullah Khan b Wahab Riaz,2023,Rawalpindi Cricket Stadium,Lahore Qalandars,Peshawar Zalmi
8,Sam Billings ï¿½,32,22,2,2,145.45,c Hasan Ali b Fazalhaq Farooqi,2023,Rawalpindi Cricket Stadium,Lahore Qalandars,Islamabad United
9,Sam Billings ï¿½,11,13,0,0,84.61,c ï¿½Muhammad Akhlaq b Fuller,2023,"Gaddafi Stadium, Lahore",Lahore Qalandars,Karachi Kings
10,Sam Billings ï¿½,19,27,1,0,70.37,c Cottrell b Ihsanullah,2023,"Gaddafi Stadium, Lahore",Lahore Qalandars,Multan Sultans
11,Sam Billings ï¿½,28,21,3,0,133.33,b Salman Irshad,2023,"Gaddafi Stadium, Lahore",Lahore Qalandars,Peshawar Zalmi
12,Sam Billings ï¿½,9,8,0,1,112.50,b Usama Mir,2023,"Gaddafi Stadium, Lahore",Lahore Qalandars,Multan Sultans
