batsman,total_runs,total_balls,fours,sixes,strike_rate,match_captain,wicket_type,dismissed_by,season,venue,team_name,opponent_team
Shane Watson,66,34,7,4,194.11,0,catch,Arshad Iqbal,2020,"National Stadium, Karachi",Quetta Gladiators,Karachi Kings
Sharjeel Khan,10,11,0,1,90.9,0,catch,Zulfiqar Babar,2016,Dubai International Cricket Stadium,Islamabad United,Quetta Gladiators
Sharjeel Khan,8,3,2,0,266.66,0,bowled,Tait,2016,Dubai International Cricket Stadium,Islamabad United,Peshawar Zalmi
Sharjeel Khan,28,27,3,0,103.7,0,catch,Mohammad Amir,2016,Dubai International Cricket Stadium,Islamabad United,Karachi Kings
Sharjeel Khan,79,43,5,7,183.72,0,not out,not out,2016,Sharjah Cricket Stadium,Islamabad United,Lahore Qalandars
Sharjeel Khan,2,3,0,0,66.66,0,catch,Zulfiqar Babar,2016,Sharjah Cricket Stadium,Islamabad United,Quetta Gladiators
Sharjeel Khan,28,22,2,2,127.27,0,catch,Tait,2016,Sharjah Cricket Stadium,Islamabad United,Peshawar Zalmi
Sharjeel Khan,1,3,0,0,33.33,0,catch,Sohail Khan,2016,Sharjah Cricket Stadium,Islamabad United,Karachi Kings
Sharjeel Khan,5,7,0,0,71.42,0,catch,Zia-ul-Haq,2016,Dubai International Cricket Stadium,Islamabad United,Lahore Qalandars
Sharjeel Khan,9,9,2,0,100.0,0,catch,Sohail Khan,2016,Dubai International Cricket Stadium,Islamabad United,Karachi Kings
Sharjeel Khan,117,62,12,8,188.7,0,run out,run out,2016,Dubai International Cricket Stadium,Islamabad United,Peshawar Zalmi
Sharjeel Khan,12,11,1,1,109.09,0,bowled,McCullum,2016,Dubai International Cricket Stadium,Islamabad United,Quetta Gladiators
Sharjeel Khan,1,4,0,0,25.0,0,lbw,Hasan Ali,2017,Dubai International Cricket Stadium,Islamabad United,Peshawar Zalmi
Sharjeel Khan,19,11,1,2,172.72,0,catch,Hasan Ali,2020,"National Stadium, Karachi",Karachi Kings,Peshawar Zalmi
Sharjeel Khan,6,12,0,0,50.0,0,catch,Mohammad Nawaz,2020,"National Stadium, Karachi",Karachi Kings,Quetta Gladiators
Sharjeel Khan,16,9,2,1,177.77,0,lbw,Ali,2020,Multan Cricket Stadium,Karachi Kings,Multan Sultans
Sharjeel Khan,38,20,3,4,190.0,0,catch,Rumman Raees,2020,Rawalpindi Cricket Stadium,Karachi Kings,Islamabad United
Sharjeel Khan,4,3,1,0,133.33,0,lbw,Hasan Ali,2020,Rawalpindi Cricket Stadium,Karachi Kings,Peshawar Zalmi
Sharjeel Khan,5,8,1,0,62.5,0,run out,run out,2020,"Gaddafi Stadium, Lahore",Karachi Kings,Lahore Qalandars
Sharjeel Khan,74,59,5,5,125.42,0,not out,not out,2020,"National Stadium, Karachi",Karachi Kings,Lahore Qalandars
Sharjeel Khan,37,14,3,4,264.28,0,lbw,Akif Javed,2020,"National Stadium, Karachi",Karachi Kings,Islamabad United
Sharjeel Khan,0,2,0,0,0.0,0,bowled,Naseem Shah,2020,"National Stadium, Karachi",Karachi Kings,Quetta Gladiators
Sharjeel Khan,4,7,0,0,57.14,0,catch,Sohail Tanvir,2020,"National Stadium, Karachi",Karachi Kings,Multan Sultans
Sharjeel Khan,13,12,2,0,108.33,0,catch,Patel,2020,"National Stadium, Karachi",Karachi Kings,Lahore Qalandars
Sharjeel Khan,4,4,1,0,100.0,0,lbw,Mohammad Hasnain,2021,"National Stadium, Karachi",Karachi Kings,Quetta Gladiators
Sharjeel Khan,105,59,9,8,177.96,0,lbw,Hasan Ali,2021,"National Stadium, Karachi",Karachi Kings,Islamabad United
Sharjeel Khan,27,14,4,1,192.85,0,catch,Shahnawaz Dahani,2021,"National Stadium, Karachi",Karachi Kings,Multan Sultans
Sharjeel Khan,64,39,5,6,164.1,0,catch,Wiese,2021,"National Stadium, Karachi",Karachi Kings,Lahore Qalandars
Sharjeel Khan,0,1,0,0,0.0,0,catch,Mohammad Imran,2021,"National Stadium, Karachi",Karachi Kings,Peshawar Zalmi
Sharjeel Khan,4,6,0,0,66.66,0,run out,run out,2021,"Sheikh Zayed Stadium, Abu Dhabi",Karachi Kings,Multan Sultans
Sharjeel Khan,25,17,1,2,147.05,0,catch,Akif Javed,2021,"Sheikh Zayed Stadium, Abu Dhabi",Karachi Kings,Islamabad United
Sharjeel Khan,25,24,2,1,104.16,0,catch,Wahab Riaz,2021,"Sheikh Zayed Stadium, Abu Dhabi",Karachi Kings,Peshawar Zalmi
Sharjeel Khan,13,10,1,1,130.0,0,catch,Shaheen Shah Afridi,2021,"Sheikh Zayed Stadium, Abu Dhabi",Karachi Kings,Lahore Qalandars
Sharjeel Khan,45,34,3,4,132.35,0,bowled,Arish Ali,2021,"Sheikh Zayed Stadium, Abu Dhabi",Karachi Kings,Quetta Gladiators
Sharjeel Khan,26,20,5,0,130.0,0,lbw,Mohammad Irfan,2021,"Sheikh Zayed Stadium, Abu Dhabi",Karachi Kings,Peshawar Zalmi
Sharjeel Khan,43,31,3,3,138.7,0,catch,Imran Tahir,2022,"National Stadium, Karachi",Karachi Kings,Multan Sultans
Sharjeel Khan,10,9,2,0,111.11,0,catch,Sohail Tanvir,2022,"National Stadium, Karachi",Karachi Kings,Quetta Gladiators
Sharjeel Khan,60,39,8,3,153.84,0,bowled,Mohammad Hafeez,2022,"National Stadium, Karachi",Karachi Kings,Lahore Qalandars
Sharjeel Khan,0,1,0,0,0.0,0,catch,Shoaib Malik,2022,"National Stadium, Karachi",Karachi Kings,Peshawar Zalmi
Sharjeel Khan,6,7,1,0,85.71,0,run out,run out,2022,"National Stadium, Karachi",Karachi Kings,Islamabad United
Sharjeel Khan,14,16,1,1,87.5,0,catch,Salman Irshad,2022,"Gaddafi Stadium, Lahore",Karachi Kings,Peshawar Zalmi
Sharjeel Khan,44,29,4,3,151.72,0,catch,Asif Ali,2022,"Gaddafi Stadium, Lahore",Karachi Kings,Islamabad United
Sharjeel Khan,36,34,1,2,105.88,0,catch,Khushdil Shah,2022,"Gaddafi Stadium, Lahore",Karachi Kings,Multan Sultans
Sharjeel Khan,2,4,0,0,50.0,0,lbw,Shaheen Shah Afridi,2022,"Gaddafi Stadium, Lahore",Karachi Kings,Lahore Qalandars
Sharjeel Khan,16,7,1,2,228.57,0,bowled,Khurram Shahzad,2022,"Gaddafi Stadium, Lahore",Karachi Kings,Quetta Gladiators
Sharjeel Khan,0,1,0,0,0.0,0,catch,Wahab Riaz,2023,"National Stadium, Karachi",Karachi Kings,Peshawar Zalmi
Sharjeel Khan,34,26,4,1,130.76,0,catch,Curran,2023,"National Stadium, Karachi",Karachi Kings,Islamabad United
Sharjeel Khan,0,5,0,0,0.0,0,catch,Mohammad Nawaz,2023,"National Stadium, Karachi",Karachi Kings,Quetta Gladiators
Sharjeel Khan,8,6,0,1,133.33,0,bowled,Rumman Raees,2023,Rawalpindi Cricket Stadium,Karachi Kings,Islamabad United
Umar Amin,0,4,0,0,0.0,0,catch,Umar Gul,2016,Dubai International Cricket Stadium,Islamabad United,Quetta Gladiators
Umar Amin,4,6,0,0,66.66,0,catch,Mohammad Asghar,2016,Dubai International Cricket Stadium,Islamabad United,Peshawar Zalmi
Umar Amin,31,31,4,0,100.0,0,catch,Mohammad Irfan,2018,Dubai International Cricket Stadium,Quetta Gladiators,Karachi Kings
Umar Amin,13,7,2,0,185.71,0,not out,not out,2018,Dubai International Cricket Stadium,Quetta Gladiators,Lahore Qalandars
Umar Amin,6,5,1,0,120.0,0,bowled,Mohammad Sami,2018,Sharjah Cricket Stadium,Quetta Gladiators,Islamabad United
Umar Amin,11,16,1,0,68.75,0,catch,Sammy,2018,Sharjah Cricket Stadium,Quetta Gladiators,Peshawar Zalmi
Umar Amin,8,10,1,0,80.0,0,catch,Sohail Tanvir,2018,Sharjah Cricket Stadium,Quetta Gladiators,Multan Sultans
Umar Amin,28,27,0,1,103.7,0,catch,Amad Butt,2018,Sharjah Cricket Stadium,Quetta Gladiators,Islamabad United
Umar Amin,61,39,10,1,156.41,0,not out,not out,2019,Dubai International Cricket Stadium,Peshawar Zalmi,Lahore Qalandars
Umar Amin,15,18,1,0,83.33,0,stumped,Sikandar Raza,2019,Sharjah Cricket Stadium,Peshawar Zalmi,Karachi Kings
Umar Amin,14,20,1,0,70.0,0,catch,Patel,2019,Sharjah Cricket Stadium,Peshawar Zalmi,Islamabad United
Umar Amin,54,37,7,0,145.94,0,not out,not out,2019,Dubai International Cricket Stadium,Peshawar Zalmi,Multan Sultans
Umar Amin,6,10,0,0,60.0,0,catch,Faheem Ashraf,2019,Dubai International Cricket Stadium,Peshawar Zalmi,Islamabad United
Umar Amin,1,1,0,0,100.0,0,not out,not out,2019,"Sheikh Zayed Stadium, Abu Dhabi",Peshawar Zalmi,Quetta Gladiators
Umar Amin,0,5,0,0,0.0,0,catch,Shaheen Shah Afridi,2019,"Sheikh Zayed Stadium, Abu Dhabi",Peshawar Zalmi,Lahore Qalandars
Umar Amin,38,33,3,2,115.15,0,catch,Mohammad Hasnain,2019,"National Stadium, Karachi",Peshawar Zalmi,Quetta Gladiators
Umar Amin,29,23,4,0,126.08,0,bowled,Ali,2020,"National Stadium, Karachi",Peshawar Zalmi,Multan Sultans
Umar Amin,13,15,1,0,86.66,0,catch,Shahnawaz Dahani,2021,"Sheikh Zayed Stadium, Abu Dhabi",Islamabad United,Multan Sultans
Babar Azam,15,18,1,0,83.33,0,catch,Mohammad Nawaz,2016,Dubai International Cricket Stadium,Islamabad United,Quetta Gladiators
Babar Azam,0,8,0,0,0.0,0,catch,Mohammad Asghar,2016,Dubai International Cricket Stadium,Islamabad United,Peshawar Zalmi
Babar Azam,1,5,0,0,20.0,0,catch,Hasan Ali,2017,Dubai International Cricket Stadium,Karachi Kings,Peshawar Zalmi
Babar Azam,50,42,4,1,119.04,0,run out,run out,2017,Dubai International Cricket Stadium,Karachi Kings,Quetta Gladiators
Babar Azam,9,10,1,0,90.0,0,catch,Mohammad Irfan,2017,Sharjah Cricket Stadium,Karachi Kings,Lahore Qalandars
Babar Azam,47,30,5,2,156.66,0,not out,not out,2017,Sharjah Cricket Stadium,Karachi Kings,Islamabad United
Babar Azam,46,38,6,1,121.05,0,catch,Shakib Al Hasan,2017,Sharjah Cricket Stadium,Karachi Kings,Peshawar Zalmi
Babar Azam,36,37,4,0,97.29,0,catch,Mahmudullah,2017,Dubai International Cricket Stadium,Karachi Kings,Quetta Gladiators
Babar Azam,49,42,7,0,116.66,0,catch,Fakhar Zaman,2017,Dubai International Cricket Stadium,Karachi Kings,Lahore Qalandars
Babar Azam,27,27,4,0,100.0,0,bowled,Shadab Khan,2017,Dubai International Cricket Stadium,Karachi Kings,Islamabad United
Babar Azam,25,21,5,0,119.04,0,lbw,Shadab Khan,2017,Sharjah Cricket Stadium,Karachi Kings,Islamabad United
Babar Azam,1,7,0,0,14.28,0,catch,Jordan,2017,Dubai International Cricket Stadium,Karachi Kings,Peshawar Zalmi
Babar Azam,10,12,0,0,83.33,0,catch,Rahat Ali,2018,Dubai International Cricket Stadium,Karachi Kings,Quetta Gladiators
Babar Azam,28,20,3,1,140.0,0,catch,Ibtisam Sheikh,2018,Dubai International Cricket Stadium,Karachi Kings,Peshawar Zalmi
Babar Azam,0,1,0,0,0.0,0,lbw,Mustafizur Rahman,2018,Dubai International Cricket Stadium,Karachi Kings,Lahore Qalandars
Babar Azam,55,53,3,2,103.77,0,catch,Hussain Talat,2018,Sharjah Cricket Stadium,Karachi Kings,Islamabad United
Babar Azam,32,32,3,1,100.0,0,catch,Watson,2018,Dubai International Cricket Stadium,Karachi Kings,Quetta Gladiators
Babar Azam,58,39,6,1,148.71,0,catch,Viljoen,2018,Dubai International Cricket Stadium,Karachi Kings,Multan Sultans
Babar Azam,61,49,6,1,124.48,0,catch,Sohail Khan,2018,Dubai International Cricket Stadium,Karachi Kings,Lahore Qalandars
Babar Azam,66,50,4,4,132.0,0,catch,Wahab Riaz,2018,Sharjah Cricket Stadium,Karachi Kings,Peshawar Zalmi
Babar Azam,29,26,2,0,111.53,0,not out,not out,2018,Sharjah Cricket Stadium,Karachi Kings,Islamabad United
Babar Azam,0,2,0,0,0.0,0,catch,Mohammad Sami,2018,Dubai International Cricket Stadium,Karachi Kings,Islamabad United
Babar Azam,63,45,6,2,140.0,0,catch,Hasan Ali,2018,"Gaddafi Stadium, Lahore",Karachi Kings,Peshawar Zalmi
Babar Azam,77,59,6,1,130.5,0,catch,Green,2019,Dubai International Cricket Stadium,Karachi Kings,Multan Sultans
Babar Azam,28,38,2,0,73.68,0,bowled,Viljoen,2019,Dubai International Cricket Stadium,Karachi Kings,Lahore Qalandars
Babar Azam,1,4,0,0,25.0,0,run out,run out,2019,Sharjah Cricket Stadium,Karachi Kings,Peshawar Zalmi
Babar Azam,27,21,4,0,128.57,0,run out,run out,2019,Sharjah Cricket Stadium,Karachi Kings,Islamabad United
Babar Azam,0,1,0,0,0.0,0,catch,Sohail Tanvir,2019,Sharjah Cricket Stadium,Karachi Kings,Quetta Gladiators
