batsman,total_runs,total_balls,fours,sixes,strike_rate,match_captain,wicket_type,dismissed_by,season,venue,team_name,opponent_team
Luke Ronchi,0,1,0,0,0.0,0,catch,Sohail Tanvir,2019,Dubai International Cricket Stadium,Islamabad United,Quetta Gladiators
Luke Ronchi,21,15,1,2,140.0,0,catch,Sameen Gul,2019,Sharjah Cricket Stadium,Islamabad United,Peshawar Zalmi
Luke Ronchi,67,35,8,3,191.42,0,not out,not out,2019,Sharjah Cricket Stadium,Islamabad United,Karachi Kings
Luke Ronchi,32,16,6,1,200.0,0,catch,Mohammad Ilyas,2019,Dubai International Cricket Stadium,Islamabad United,Multan Sultans
Luke Ronchi,26,21,3,1,123.8,0,catch,Umer Khan,2019,Dubai International Cricket Stadium,Islamabad United,Karachi Kings
Luke Ronchi,9,5,2,0,180.0,0,catch,Ibtisam Sheikh,2019,Dubai International Cricket Stadium,Islamabad United,Peshawar Zalmi
Luke Ronchi,64,43,7,3,148.83,0,catch,Fawad Ahmed,2019,"Sheikh Zayed Stadium, Abu Dhabi",Islamabad United,Quetta Gladiators
Luke Ronchi,0,1,0,0,0.0,0,catch,Shaheen Shah Afridi,2019,"National Stadium, Karachi",Islamabad United,Lahore Qalandars
Luke Ronchi,5,9,0,0,55.55,0,catch,Aamer Yamin,2019,"National Stadium, Karachi",Islamabad United,Karachi Kings
Luke Ronchi,17,9,2,1,188.88,0,catch,Hasan Ali,2019,"National Stadium, Karachi",Islamabad United,Peshawar Zalmi
Luke Ronchi,23,13,4,1,176.92,0,catch,Sohail Khan,2020,"National Stadium, Karachi",Islamabad United,Quetta Gladiators
Luke Ronchi,74,45,9,2,164.44,0,catch,Mohammad Ilyas,2020,"Gaddafi Stadium, Lahore",Islamabad United,Multan Sultans
Luke Ronchi,1,4,0,0,25.0,0,catch,Shaheen Shah Afridi,2020,"Gaddafi Stadium, Lahore",Islamabad United,Lahore Qalandars
Luke Ronchi,11,4,1,1,275.0,0,bowled,Naseem Shah,2020,Rawalpindi Cricket Stadium,Islamabad United,Quetta Gladiators
Luke Ronchi,85,58,9,2,146.55,0,not out,not out,2020,Rawalpindi Cricket Stadium,Islamabad United,Karachi Kings
Luke Ronchi,48,31,6,1,154.83,0,catch,Mohammad Hafeez,2020,"Gaddafi Stadium, Lahore",Islamabad United,Lahore Qalandars
Luke Ronchi,6,5,0,1,120.0,0,catch,Rahat Ali,2020,Rawalpindi Cricket Stadium,Islamabad United,Peshawar Zalmi
Luke Ronchi,18,10,2,1,180.0,0,catch,Junaid Khan,2020,Rawalpindi Cricket Stadium,Islamabad United,Multan Sultans
Chadwick Walton,11,6,1,1,183.33,0,catch,Umaid Asif,2018,Dubai International Cricket Stadium,Islamabad United,Peshawar Zalmi
Chadwick Walton,28,23,5,0,121.73,0,catch,Junaid Khan,2018,Dubai International Cricket Stadium,Islamabad United,Multan Sultans
Chadwick Walton,8,7,0,0,114.28,0,lbw,Anwar Ali,2018,Sharjah Cricket Stadium,Islamabad United,Quetta Gladiators
Chadwick Walton,0,2,0,0,0.0,0,bowled,Umaid Asif,2018,"National Stadium, Karachi",Islamabad United,Peshawar Zalmi
Chadwick Walton,22,14,2,1,157.14,0,bowled,Wahab Riaz,2019,Dubai International Cricket Stadium,Islamabad United,Peshawar Zalmi
Chadwick Walton,48,30,2,4,160.0,0,bowled,Wiese,2019,"National Stadium, Karachi",Islamabad United,Lahore Qalandars
Chadwick Walton,0,2,0,0,0.0,0,catch,Umer Khan,2019,"National Stadium, Karachi",Islamabad United,Karachi Kings
Chadwick Walton,48,29,3,3,165.51,0,catch,Mills,2019,"National Stadium, Karachi",Islamabad United,Peshawar Zalmi
Chadwick Walton,9,6,1,0,150.0,0,not out,not out,2020,"National Stadium, Karachi",Karachi Kings,Peshawar Zalmi
Chadwick Walton,26,20,2,1,130.0,0,catch,Naseem Shah,2020,"National Stadium, Karachi",Karachi Kings,Quetta Gladiators
Samit Patel,23,24,2,0,95.83,0,catch,Ibtisam Sheikh,2018,Dubai International Cricket Stadium,Islamabad United,Peshawar Zalmi
Samit Patel,9,10,1,0,90.0,0,catch,Yasir Shah,2018,Sharjah Cricket Stadium,Islamabad United,Lahore Qalandars
Samit Patel,14,7,3,0,200.0,0,not out,not out,2018,Dubai International Cricket Stadium,Islamabad United,Karachi Kings
Samit Patel,10,13,2,0,76.92,0,catch,Hasan Ali,2018,"National Stadium, Karachi",Islamabad United,Peshawar Zalmi
Samit Patel,20,26,1,0,76.92,0,not out,not out,2019,Dubai International Cricket Stadium,Islamabad United,Multan Sultans
Samit Patel,15,12,2,0,125.0,0,not out,not out,2019,Dubai International Cricket Stadium,Islamabad United,Quetta Gladiators
Samit Patel,5,3,1,0,166.66,0,bowled,Hasan Ali,2019,Sharjah Cricket Stadium,Islamabad United,Peshawar Zalmi
Samit Patel,45,30,6,1,150.0,0,not out,not out,2019,Sharjah Cricket Stadium,Islamabad United,Karachi Kings
Samit Patel,20,27,3,0,74.07,0,catch,Shahid Afridi,2019,Dubai International Cricket Stadium,Islamabad United,Multan Sultans
Samit Patel,14,15,1,0,93.33,0,catch,Mohammad Hasnain,2019,"Sheikh Zayed Stadium, Abu Dhabi",Islamabad United,Quetta Gladiators
Samit Patel,10,9,0,1,111.11,0,catch,Faheem Ashraf,2020,"Gaddafi Stadium, Lahore",Lahore Qalandars,Islamabad United
Samit Patel,34,15,5,1,226.66,0,not out,not out,2020,Rawalpindi Cricket Stadium,Lahore Qalandars,Peshawar Zalmi
Samit Patel,71,40,9,2,177.5,0,catch,Cutting,2020,"Gaddafi Stadium, Lahore",Lahore Qalandars,Quetta Gladiators
Samit Patel,6,8,1,0,75.0,0,catch,Shadab Khan,2020,"Gaddafi Stadium, Lahore",Lahore Qalandars,Islamabad United
Samit Patel,11,7,2,0,157.14,0,not out,not out,2020,"Gaddafi Stadium, Lahore",Lahore Qalandars,Peshawar Zalmi
Samit Patel,5,9,0,0,55.55,0,catch,Jordan,2020,"National Stadium, Karachi",Lahore Qalandars,Karachi Kings
Samit Patel,20,17,3,0,117.64,0,catch,Rahat Ali,2020,"National Stadium, Karachi",Lahore Qalandars,Peshawar Zalmi
Samit Patel,26,16,4,0,162.5,0,catch,Sohail Tanvir,2020,"National Stadium, Karachi",Lahore Qalandars,Multan Sultans
Samit Patel,5,8,0,0,62.5,0,catch,Arshad Iqbal,2020,"National Stadium, Karachi",Lahore Qalandars,Karachi Kings
Samit Patel,8,11,0,0,72.72,0,bowled,Mahmood,2021,"National Stadium, Karachi",Lahore Qalandars,Peshawar Zalmi
Samit Patel,26,20,2,1,130.0,0,not out,not out,2021,"National Stadium, Karachi",Lahore Qalandars,Multan Sultans
Samit Patel,26,18,4,0,144.44,0,not out,not out,2022,"National Stadium, Karachi",Lahore Qalandars,Karachi Kings
Samit Patel,11,11,1,0,100.0,0,catch,Willey,2022,"Gaddafi Stadium, Lahore",Lahore Qalandars,Multan Sultans
Samit Patel,21,18,1,1,116.66,0,catch,Mohammad Wasim,2022,"Gaddafi Stadium, Lahore",Lahore Qalandars,Islamabad United
Faheem Ashraf,54,30,6,2,180.0,0,not out,not out,2018,Dubai International Cricket Stadium,Islamabad United,Peshawar Zalmi
Faheem Ashraf,12,20,0,0,60.0,0,not out,not out,2018,Dubai International Cricket Stadium,Islamabad United,Multan Sultans
Faheem Ashraf,21,13,1,2,161.53,0,run out,run out,2018,Sharjah Cricket Stadium,Islamabad United,Quetta Gladiators
Faheem Ashraf,0,3,0,0,0.0,0,catch,Sohail Khan,2018,Sharjah Cricket Stadium,Islamabad United,Lahore Qalandars
Faheem Ashraf,1,1,0,0,100.0,0,run out,run out,2018,Dubai International Cricket Stadium,Islamabad United,Peshawar Zalmi
Faheem Ashraf,13,6,1,1,216.66,0,not out,not out,2018,Sharjah Cricket Stadium,Islamabad United,Multan Sultans
Faheem Ashraf,4,8,0,0,50.0,0,bowled,Usman Shinwari,2018,Sharjah Cricket Stadium,Islamabad United,Karachi Kings
Faheem Ashraf,6,4,0,1,150.0,0,not out,not out,2018,"National Stadium, Karachi",Islamabad United,Peshawar Zalmi
Faheem Ashraf,23,11,2,2,209.09,0,not out,not out,2019,Dubai International Cricket Stadium,Islamabad United,Lahore Qalandars
Faheem Ashraf,20,14,1,1,142.85,0,not out,not out,2019,Dubai International Cricket Stadium,Islamabad United,Multan Sultans
Faheem Ashraf,1,7,0,0,14.28,0,catch,Fawad Ahmed,2019,Dubai International Cricket Stadium,Islamabad United,Quetta Gladiators
Faheem Ashraf,2,3,0,0,66.66,0,catch,Umaid Asif,2019,Sharjah Cricket Stadium,Islamabad United,Peshawar Zalmi
Faheem Ashraf,16,10,1,1,160.0,0,not out,not out,2019,Dubai International Cricket Stadium,Islamabad United,Multan Sultans
Faheem Ashraf,8,7,1,0,114.28,0,not out,not out,2019,Dubai International Cricket Stadium,Islamabad United,Karachi Kings
Faheem Ashraf,9,5,1,0,180.0,0,bowled,Hasan Ali,2019,Dubai International Cricket Stadium,Islamabad United,Peshawar Zalmi
Faheem Ashraf,2,2,0,0,100.0,0,catch,Mohammad Hasnain,2019,"Sheikh Zayed Stadium, Abu Dhabi",Islamabad United,Quetta Gladiators
Faheem Ashraf,17,8,2,1,212.5,0,catch,Mohammad Amir,2019,"National Stadium, Karachi",Islamabad United,Karachi Kings
Faheem Ashraf,31,14,1,3,221.42,0,catch,Jordan,2019,"National Stadium, Karachi",Islamabad United,Peshawar Zalmi
Faheem Ashraf,20,8,4,0,250.0,0,catch,Mohammad Hasnain,2020,"National Stadium, Karachi",Islamabad United,Quetta Gladiators
Faheem Ashraf,11,7,2,0,157.14,0,bowled,Haris Rauf,2020,"Gaddafi Stadium, Lahore",Islamabad United,Lahore Qalandars
Faheem Ashraf,4,4,1,0,100.0,0,run out,run out,2020,Rawalpindi Cricket Stadium,Islamabad United,Quetta Gladiators
Faheem Ashraf,3,4,0,0,75.0,0,not out,not out,2020,Rawalpindi Cricket Stadium,Islamabad United,Peshawar Zalmi
Faheem Ashraf,12,14,0,0,85.71,0,not out,not out,2020,"National Stadium, Karachi",Islamabad United,Karachi Kings
Faheem Ashraf,22,12,2,1,183.33,0,catch,Brathwaite,2021,"National Stadium, Karachi",Islamabad United,Multan Sultans
Faheem Ashraf,25,15,2,2,166.66,0,bowled,Arshad Iqbal,2021,"National Stadium, Karachi",Islamabad United,Karachi Kings
Faheem Ashraf,2,4,0,0,50.0,0,catch,Umaid Asif,2021,"National Stadium, Karachi",Islamabad United,Peshawar Zalmi
Faheem Ashraf,27,24,2,1,112.5,0,catch,Shaheen Shah Afridi,2021,"Sheikh Zayed Stadium, Abu Dhabi",Islamabad United,Lahore Qalandars
Faheem Ashraf,0,3,0,0,0.0,0,catch,Muzarabani,2021,"Sheikh Zayed Stadium, Abu Dhabi",Islamabad United,Multan Sultans
Faheem Ashraf,1,5,0,0,20.0,0,catch,Wahab Riaz,2021,"Sheikh Zayed Stadium, Abu Dhabi",Islamabad United,Peshawar Zalmi
Faheem Ashraf,0,1,0,0,0.0,0,lbw,Khushdil Shah,2022,"National Stadium, Karachi",Islamabad United,Multan Sultans
Faheem Ashraf,0,1,0,0,0.0,0,not out,not out,2022,"National Stadium, Karachi",Islamabad United,Lahore Qalandars
Faheem Ashraf,7,5,0,1,140.0,0,not out,not out,2022,"National Stadium, Karachi",Islamabad United,Karachi Kings
Faheem Ashraf,55,28,5,4,196.42,0,catch,Faulkner,2022,"Gaddafi Stadium, Lahore",Islamabad United,Quetta Gladiators
Faheem Ashraf,29,10,3,2,290.0,0,not out,not out,2022,"Gaddafi Stadium, Lahore",Islamabad United,Karachi Kings
Faheem Ashraf,9,6,2,0,150.0,0,catch,Salman Irshad,2022,"Gaddafi Stadium, Lahore",Islamabad United,Peshawar Zalmi
Faheem Ashraf,2,4,0,0,50.0,0,lbw,Haris Rauf,2022,"Gaddafi Stadium, Lahore",Islamabad United,Lahore Qalandars
Faheem Ashraf,19,13,2,1,146.15,0,not out,not out,2022,"Gaddafi Stadium, Lahore",Islamabad United,Peshawar Zalmi
Faheem Ashraf,12,7,2,0,171.42,0,catch,Mohammad Amir,2023,"National Stadium, Karachi",Islamabad United,Karachi Kings
Faheem Ashraf,4,6,0,0,66.66,0,catch,Abbas Afridi,2023,Multan Cricket Stadium,Islamabad United,Multan Sultans
Faheem Ashraf,17,6,2,1,283.33,0,not out,not out,2023,"National Stadium, Karachi",Islamabad United,Quetta Gladiators
Faheem Ashraf,4,13,0,0,30.76,0,not out,not out,2023,"Gaddafi Stadium, Lahore",Islamabad United,Lahore Qalandars
Faheem Ashraf,41,32,1,2,128.12,0,run out,run out,2023,Rawalpindi Cricket Stadium,Islamabad United,Karachi Kings
Faheem Ashraf,39,31,6,0,125.8,0,not out,not out,2023,Rawalpindi Cricket Stadium,Islamabad United,Quetta Gladiators
Faheem Ashraf,51,26,5,2,196.15,0,not out,not out,2023,Rawalpindi Cricket Stadium,Islamabad United,Multan Sultans
Faheem Ashraf,4,8,0,0,50.0,0,lbw,Rashid Khan,2023,Rawalpindi Cricket Stadium,Islamabad United,Lahore Qalandars
Faheem Ashraf,38,13,2,4,292.3,0,bowled,Khurram Shahzad,2023,Rawalpindi Cricket Stadium,Islamabad United,Peshawar Zalmi
Faheem Ashraf,5,2,1,0,250.0,0,run out,run out,2023,"Gaddafi Stadium, Lahore",Islamabad United,Peshawar Zalmi
Faheem Ashraf,1,2,0,0,50.0,0,catch,Mohammad Ali,2024,Multan Cricket Stadium,Islamabad United,Multan Sultans
Faheem Ashraf,20,14,1,1,142.85,0,catch,Mohammad Wasim,2024,"Gaddafi Stadium, Lahore",Islamabad United,Quetta Gladiators
Faheem Ashraf,1,2,0,0,50.0,0,catch,Arif Yaqoob,2024,"Gaddafi Stadium, Lahore",Islamabad United,Peshawar Zalmi
Faheem Ashraf,41,31,4,1,132.25,0,not out,not out,2024,Rawalpindi Cricket Stadium,Islamabad United,Lahore Qalandars
Faheem Ashraf,12,8,0,1,150.0,0,not out,not out,2024,Rawalpindi Cricket Stadium,Islamabad United,Karachi Kings
Faheem Ashraf,23,14,2,1,164.28,0,catch,Abbas Afridi,2024,Rawalpindi Cricket Stadium,Islamabad United,Multan Sultans
Faheem Ashraf,1,2,0,0,50.0,0,catch,Mohammad Amir,2024,"National Stadium, Karachi",Islamabad United,Quetta Gladiators
Faheem Ashraf,1,4,0,0,25.0,0,catch,Iftikhar Ahmed,2024,"National Stadium, Karachi",Islamabad United,Multan Sultans
Rumman Raees,11,10,2,0,110.0,1,not out,not out,2018,Dubai International Cricket Stadium,Islamabad United,Peshawar Zalmi
Gulraiz Sadaf,13,31,0,0,41.93,0,catch,Archer,2018,Dubai International Cricket Stadium,Lahore Qalandars,Quetta Gladiators
Gulraiz Sadaf,27,40,3,0,67.5,0,catch,Saif Badar,2018,Dubai International Cricket Stadium,Lahore Qalandars,Multan Sultans
Gulraiz Sadaf,2,2,0,0,100.0,0,run out,run out,2018,Dubai International Cricket Stadium,Lahore Qalandars,Karachi Kings
Gulraiz Sadaf,42,27,3,2,155.55,0,not out,not out,2018,Sharjah Cricket Stadium,Lahore Qalandars,Quetta Gladiators
Gulraiz Sadaf,26,21,2,1,123.8,0,not out,not out,2018,Sharjah Cricket Stadium,Lahore Qalandars,Peshawar Zalmi
Saif Badar,8,9,0,0,88.88,0,bowled,Rumman Raees,2018,Dubai International Cricket Stadium,Multan Sultans,Islamabad United
Saif Badar,0,2,0,0,0.0,0,catch,Shaheen Shah Afridi,2018,Dubai International Cricket Stadium,Multan Sultans,Lahore Qalandars
Saif Badar,13,11,1,1,118.18,0,bowled,Shahid Afridi,2018,Dubai International Cricket Stadium,Multan Sultans,Karachi Kings
Saif Badar,0,1,0,0,0.0,0,lbw,Patel,2018,Sharjah Cricket Stadium,Multan Sultans,Islamabad United
Imran Tahir,2,5,0,0,40.0,0,bowled,Rumman Raees,2018,Dubai International Cricket Stadium,Multan Sultans,Islamabad United
Imran Tahir,2,5,0,0,40.0,0,not out,not out,2018,Dubai International Cricket Stadium,Multan Sultans,Lahore Qalandars
Imran Tahir,2,9,0,0,22.22,0,bowled,Mohammad Amir,2018,Dubai International Cricket Stadium,Multan Sultans,Karachi Kings
Imran Tahir,7,4,1,0,175.0,0,not out,not out,2018,Sharjah Cricket Stadium,Multan Sultans,Islamabad United
Imran Tahir,3,2,0,0,150.0,0,not out,not out,2020,"Gaddafi Stadium, Lahore",Multan Sultans,Islamabad United
Imran Tahir,1,2,0,0,50.0,0,catch,Dilbar Hussain,2020,"National Stadium, Karachi",Multan Sultans,Lahore Qalandars
Imran Tahir,14,8,1,1,175.0,0,run out,run out,2021,"National Stadium, Karachi",Multan Sultans,Quetta Gladiators
Imran Tahir,4,2,1,0,200.0,0,catch,Faulkner,2021,"Sheikh Zayed Stadium, Abu Dhabi",Multan Sultans,Lahore Qalandars
Imran Tahir,3,9,0,0,33.33,0,catch,Zaman Khan,2022,"Gaddafi Stadium, Lahore",Multan Sultans,Lahore Qalandars
Imran Tahir,10,7,2,0,142.85,0,catch,Wiese,2022,"Gaddafi Stadium, Lahore",Multan Sultans,Lahore Qalandars
Sahibzada Farhan,9,7,2,0,128.57,0,bowled,Imran Tahir,2018,Dubai International Cricket Stadium,Islamabad United,Multan Sultans
Sahibzada Farhan,6,16,0,0,37.5,0,catch,Sohail Khan,2018,Sharjah Cricket Stadium,Islamabad United,Lahore Qalandars
Sahibzada Farhan,3,4,0,0,75.0,0,not out,not out,2018,Dubai International Cricket Stadium,Islamabad United,Lahore Qalandars
Sahibzada Farhan,29,18,0,3,161.11,0,catch,Mills,2018,Dubai International Cricket Stadium,Islamabad United,Karachi Kings
Sahibzada Farhan,44,33,5,1,133.33,0,catch,Wahab Riaz,2018,"National Stadium, Karachi",Islamabad United,Peshawar Zalmi
Sahibzada Farhan,15,18,1,0,83.33,0,catch,Sameen Gul,2019,Sharjah Cricket Stadium,Islamabad United,Peshawar Zalmi
Sahibzada Farhan,30,28,4,0,107.14,0,bowled,Imad Wasim,2019,Sharjah Cricket Stadium,Islamabad United,Karachi Kings
Sahibzada Farhan,4,8,0,0,50.0,0,stumped,Nauman Ali,2019,Dubai International Cricket Stadium,Islamabad United,Multan Sultans
Sahibzada Farhan,8,5,0,1,160.0,0,bowled,Haris Rauf,2022,"National Stadium, Karachi",Karachi Kings,Lahore Qalandars
Sahibzada Farhan,1,2,0,0,50.0,0,not out,not out,2022,"Gaddafi Stadium, Lahore",Karachi Kings,Peshawar Zalmi
Sahibzada Farhan,17,21,2,0,80.95,0,catch,Waqas Maqsood,2022,"Gaddafi Stadium, Lahore",Karachi Kings,Islamabad United
Sahibzada Farhan,57,36,8,1,158.33,0,catch,Mills,2024,"Gaddafi Stadium, Lahore",Lahore Qalandars,Islamabad United
Sahibzada Farhan,72,45,4,4,160.0,0,not out,not out,2024,"Gaddafi Stadium, Lahore",Lahore Qalandars,Karachi Kings
Sahibzada Farhan,15,12,3,0,125.0,0,catch,Naveen-ul-Haq,2024,"Gaddafi Stadium, Lahore",Lahore Qalandars,Peshawar Zalmi
Sahibzada Farhan,25,22,4,0,113.63,0,catch,Abrar Ahmed,2024,"National Stadium, Karachi",Lahore Qalandars,Quetta Gladiators
Ibtisam Sheikh,2,6,0,0,33.33,0,run out,run out,2018,Dubai International Cricket Stadium,Peshawar Zalmi,Karachi Kings
Ibtisam Sheikh,0,0,0,0,0.0,0,not out,not out,2018,Dubai International Cricket Stadium,Peshawar Zalmi,Islamabad United
Umaid Asif,7,5,0,1,140.0,0,lbw,Shahid Afridi,2018,Dubai International Cricket Stadium,Peshawar Zalmi,Karachi Kings
Umaid Asif,0,0,0,0,0.0,0,not out,not out,2018,Dubai International Cricket Stadium,Peshawar Zalmi,Multan Sultans
Umaid Asif,25,17,1,2,147.05,0,catch,Faheem Ashraf,2018,Dubai International Cricket Stadium,Peshawar Zalmi,Islamabad United
Umaid Asif,7,6,1,0,116.66,0,catch,Rahat Ali,2018,"Gaddafi Stadium, Lahore",Peshawar Zalmi,Quetta Gladiators
Umaid Asif,0,1,0,0,0.0,0,lbw,Shadab Khan,2018,"National Stadium, Karachi",Peshawar Zalmi,Islamabad United
Umaid Asif,0,0,0,0,0.0,0,not out,not out,2019,Sharjah Cricket Stadium,Peshawar Zalmi,Karachi Kings
Umaid Asif,0,1,0,0,0.0,0,catch,Mohammad Sami,2019,Sharjah Cricket Stadium,Peshawar Zalmi,Islamabad United
Umaid Asif,9,4,2,0,225.0,0,bowled,Mohammad Hasnain,2020,"National Stadium, Karachi",Karachi Kings,Quetta Gladiators
Umaid Asif,20,11,0,2,181.81,0,catch,Sohail Tanvir,2020,Multan Cricket Stadium,Karachi Kings,Multan Sultans
Umaid Asif,13,6,1,1,216.66,0,not out,not out,2020,"National Stadium, Karachi",Karachi Kings,Islamabad United
Umaid Asif,23,12,0,3,191.66,0,not out,not out,2021,"Sheikh Zayed Stadium, Abu Dhabi",Peshawar Zalmi,Lahore Qalandars
Umaid Asif,4,1,1,0,400.0,0,not out,not out,2021,"Sheikh Zayed Stadium, Abu Dhabi",Peshawar Zalmi,Multan Sultans
Umaid Asif,20,9,2,1,222.22,0,not out,not out,2021,"Sheikh Zayed Stadium, Abu Dhabi",Peshawar Zalmi,Islamabad United
Umaid Asif,0,1,0,0,0.0,0,not out,not out,2022,"National Stadium, Karachi",Karachi Kings,Lahore Qalandars
Umaid Asif,10,10,2,0,100.0,0,catch,Waqas Maqsood,2022,"National Stadium, Karachi",Karachi Kings,Islamabad United
Umaid Asif,2,3,0,0,66.66,0,not out,not out,2022,"Gaddafi Stadium, Lahore",Karachi Kings,Quetta Gladiators
Umaid Asif,11,6,1,1,183.33,0,not out,not out,2023,"Gaddafi Stadium, Lahore",Quetta Gladiators,Lahore Qalandars
Umaid Asif,0,1,0,0,0.0,0,catch,Abbas Afridi,2023,Rawalpindi Cricket Stadium,Quetta Gladiators,Multan Sultans
Denesh Ramdin,11,19,0,0,57.89,0,catch,Mohammad Irfan,2018,Dubai International Cricket Stadium,Lahore Qalandars,Karachi Kings
Denesh Ramdin,4,7,0,0,57.14,0,catch,Mohammad Sami,2018,Sharjah Cricket Stadium,Lahore Qalandars,Islamabad United
Denesh Ramdin,0,1,0,0,0.0,0,lbw,Dawson,2018,Sharjah Cricket Stadium,Lahore Qalandars,Peshawar Zalmi
Denesh Ramdin,9,20,0,0,45.0,0,bowled,Faheem Ashraf,2018,Dubai International Cricket Stadium,Lahore Qalandars,Islamabad United
Salman Agha,15,17,1,0,88.23,0,catch,Usman Shinwari,2018,Dubai International Cricket Stadium,Lahore Qalandars,Karachi Kings
Salman Agha,48,35,6,2,137.14,0,catch,Mohammad Sami,2018,Sharjah Cricket Stadium,Lahore Qalandars,Islamabad United
Salman Agha,13,12,2,0,108.33,0,catch,Sameen Gul,2018,Sharjah Cricket Stadium,Lahore Qalandars,Peshawar Zalmi
Salman Agha,8,13,0,0,61.53,0,catch,Shadab Khan,2018,Dubai International Cricket Stadium,Lahore Qalandars,Islamabad United
Salman Agha,3,8,0,0,37.5,0,catch,Mohammad Irfan,2018,Dubai International Cricket Stadium,Lahore Qalandars,Multan Sultans
Salman Agha,50,45,4,1,111.11,0,catch,Usman Shinwari,2018,Dubai International Cricket Stadium,Lahore Qalandars,Karachi Kings
Salman Agha,1,2,0,0,50.0,0,bowled,Mir Hamza,2018,Sharjah Cricket Stadium,Lahore Qalandars,Quetta Gladiators
Salman Agha,28,25,0,2,112.0,0,catch,Wahab Riaz,2018,Sharjah Cricket Stadium,Lahore Qalandars,Peshawar Zalmi
Salman Agha,13,18,1,0,72.22,0,catch,Wahab Riaz,2019,Dubai International Cricket Stadium,Lahore Qalandars,Peshawar Zalmi
Salman Agha,2,6,0,0,33.33,0,catch,Junaid Khan,2019,Sharjah Cricket Stadium,Lahore Qalandars,Multan Sultans
Salman Agha,3,6,0,0,50.0,0,catch,Faheem Ashraf,2019,"National Stadium, Karachi",Lahore Qalandars,Islamabad United
Salman Agha,21,16,4,0,131.25,0,bowled,Amad Butt,2021,"National Stadium, Karachi",Lahore Qalandars,Peshawar Zalmi
Salman Agha,1,2,0,0,50.0,0,run out,run out,2021,"Sheikh Zayed Stadium, Abu Dhabi",Lahore Qalandars,Karachi Kings
Salman Agha,13,15,1,0,86.66,0,catch,Muzarabani,2021,"Sheikh Zayed Stadium, Abu Dhabi",Lahore Qalandars,Multan Sultans
Salman Agha,64,31,7,3,206.45,0,not out,not out,2024,"Gaddafi Stadium, Lahore",Islamabad United,Lahore Qalandars
Salman Agha,52,43,3,2,120.93,0,catch,Abbas Afridi,2024,Multan Cricket Stadium,Islamabad United,Multan Sultans
Salman Agha,33,23,5,0,143.47,0,catch,Abrar Ahmed,2024,"Gaddafi Stadium, Lahore",Islamabad United,Quetta Gladiators
Salman Agha,14,8,1,1,175.0,0,catch,Saim Ayub,2024,"Gaddafi Stadium, Lahore",Islamabad United,Peshawar Zalmi
Salman Agha,25,17,0,2,147.05,0,not out,not out,2024,"National Stadium, Karachi",Islamabad United,Karachi Kings
Salman Agha,37,25,4,2,148.0,0,catch,Salman Irshad,2024,Rawalpindi Cricket Stadium,Islamabad United,Peshawar Zalmi
Salman Agha,4,3,1,0,133.33,0,catch,Zaman Khan,2024,Rawalpindi Cricket Stadium,Islamabad United,Lahore Qalandars
Salman Agha,33,30,1,1,110.0,0,catch,Muzarabani,2024,Rawalpindi Cricket Stadium,Islamabad United,Karachi Kings
Salman Agha,2,5,0,0,40.0,0,catch,Mohammad Ali,2024,Rawalpindi Cricket Stadium,Islamabad United,Multan Sultans
Salman Agha,31,21,2,1,147.61,0,catch,Saud Shakeel,2024,"National Stadium, Karachi",Islamabad United,Quetta Gladiators
Salman Agha,5,4,1,0,125.0,0,bowled,Saim Ayub,2024,"National Stadium, Karachi",Islamabad United,Peshawar Zalmi
Salman Agha,10,11,2,0,90.9,0,catch,Khushdil Shah,2024,"National Stadium, Karachi",Islamabad United,Multan Sultans
Jean-Paul Duminy,14,26,0,0,53.84,0,catch,Hastings,2018,Sharjah Cricket Stadium,Islamabad United,Quetta Gladiators
Jean-Paul Duminy,34,36,3,1,94.44,0,lbw,Yasir Shah,2018,Sharjah Cricket Stadium,Islamabad United,Lahore Qalandars
Jean-Paul Duminy,43,44,5,0,97.72,0,not out,not out,2018,Sharjah Cricket Stadium,Islamabad United,Karachi Kings
Jean-Paul Duminy,21,17,3,1,123.52,0,catch,Narine,2018,Dubai International Cricket Stadium,Islamabad United,Lahore Qalandars
Jean-Paul Duminy,73,54,6,4,135.18,0,not out,not out,2018,Dubai International Cricket Stadium,Islamabad United,Peshawar Zalmi
Jean-Paul Duminy,6,12,0,0,50.0,0,run out,run out,2018,Sharjah Cricket Stadium,Islamabad United,Multan Sultans
Jean-Paul Duminy,54,47,4,2,114.89,0,catch,Rahat Ali,2018,Sharjah Cricket Stadium,Islamabad United,Quetta Gladiators
Jean-Paul Duminy,4,9,1,0,44.44,0,lbw,Usman Shinwari,2018,Sharjah Cricket Stadium,Islamabad United,Karachi Kings
John Hastings,5,7,1,0,71.42,0,not out,not out,2018,Sharjah Cricket Stadium,Quetta Gladiators,Peshawar Zalmi
John Hastings,0,1,0,0,0.0,0,bowled,Imran Tahir,2018,Sharjah Cricket Stadium,Quetta Gladiators,Multan Sultans
Sabbir Rahman,11,11,1,0,100.0,0,catch,Rahat Ali,2018,Sharjah Cricket Stadium,Peshawar Zalmi,Quetta Gladiators
Khalid Usman,7,9,0,0,77.77,0,not out,not out,2018,Sharjah Cricket Stadium,Peshawar Zalmi,Quetta Gladiators
Khalid Usman,17,14,1,1,121.42,0,bowled,Mohammad Ilyas,2021,"Sheikh Zayed Stadium, Abu Dhabi",Peshawar Zalmi,Karachi Kings
